name, country, latitude, longitude
"Gunks", "USA", 41.7248137, 74.2221013
"Red River Gorge", "USA", 37.7950827, -83.7128355
"Yosemite", "USA", 37.7381002, -119.5968361
"Rocklands", "South Africa", -32.1087392, 18.8665282
"Grampians", "Australia", -37.3738657, 142.2925328
"Arapiles", "Australia", -36.7401981, 141.807684
"Fontainebleau", "France", 48.4235582, 2.6116908
"Ceuse", "France", 44.5183321, 5.9194345
"Hueco Tanks", "USA", 31.9163705, -106.0456336
"Wind River Range", "USA", 42.7832827, -109.2493066
