 name, length, area, discipline
Ants Line,80,Gunks,Traditional
MF,75,Gunks,Traditional
Last Frontier,40,Gunks,Traditional
Simple Stuff,60,Gunks,Traditional
Cataclysm,12,Gunks,Boulder
Venus in Scorpio,10,Gunks,Boulder
The Sting,35,Gunks,Sport
Crouching Tiger,8,Gunks,Boulder
Lorax,6,Gunks,Boulder
Twilight Zone,230,Gunks,Aid
Ozone,120,Gunks,Traditional
Wet Roof,12,Red River Gorge,Boulder
Black Gold,60,Red River Gorge,Sport
Transworld Depravity,120,Red River Gorge,Sport
Jesus Wept,80,Red River Gorge,Sport
Gene Wilder,90,Red River Gorge,Sport
Demon Seed,100,Red River Gorge,Sport
Rock Wars,80,Red River Gorge,Traditional
Super Crack,90,Red River Gorge,Traditional
Pure Imagination,110,Red River Gorge,Sport
Snooker,85,Red River Gorge,Sport
Thriller,12,Yosemite,Boulder
The Nose,3000,Yosemite,Aid
Ranger Rock,500,Yosemite,Traditional
Free Rider,3000,Yosemite,Traditional
Midnight Lightning,15,Yosemite,Boulder
Tommys Line,90,Yosemite,Sport
Cookie Cutter,65,Yosemite,Traditional
Hatchling,12,Rocklands,Boulder
Splash of Red,15,Rocklands,Boulder
Paula Abdul,10,Rocklands,Boulder
Minky,8,Rocklands,Boulder
Roof On Fire,12,Rocklands,Boulder
Black Eagle,10,Rocklands,Boulder
Air Star,15,Rocklands,Boulder
Groove Train,140,Grampians,Sport
Lifestyling,60,Grampians,Sport
Wheel of Life,75,Grampians,Boulder
Serpentine,150,Grampians,Mixed
Eye of the Tiger,120,Grampians,Sport
The Pinch,6,Grampians,Boulder
Carrot Route,50,Grampians,Traditional
Groovy,90,Grampians,Sport
Kachoong,80,Arapiles,Traditional
Punks in the Gym,80,Arapiles,Mixed
Superstition,12,Arapiles,Boulder
In Lemon Butter,65,Arapiles,Traditional
The Sting,125,Arapiles,Traditional
Camp Traverse,15,Arapiles,Boulder
Bombay Chimney,70,Arapiles,Traditional
The Joker,15,Fontainebleau,Boulder
Marie Rose,10,Fontainebleau,Boulder
The Island,12,Fontainebleau,Boulder
Big Island,12,Fontainebleau,Boulder
Dragon Assis,10,Fontainebleau,Boulder
The Whale,12,Fontainebleau,Boulder
Egg,8,Fontainebleau,Boulder
Tom et Je Ris,130,Verdon Gorge,Sport
Patricks Route,110,Verdon Gorge,Sport
Agincourt,80,Verdon Gorge,Sport
JB or Lynn,100,Verdon Gorge,Sport
Good Bad Ugly,200,Verdon Gorge,Sport
French Connection,240,Verdon Gorge,Sport
Biographie,100,Ceuse,Sport
Black Bean,120,Ceuse,Mixed
3D,85,Ceuse,Sport
Rose and Vampire,100,Ceuse,Sport
Dream Line,85,Ceuse,Sport
Free Willy,12,Hueco Tanks,Boulder
Sea of Pockets,300,Hueco Tanks,Sport
Speed Bump,8,Hueco Tanks,Boulder
Man Gum,15,Hueco Tanks,Boulder
See Spot Run,20,Hueco Tanks,Boulder
Tequila Sunrise,15,Hueco Tanks,Boulder
Choir Boys,13,Hueco Tanks,Boulder
Bad Religion,9,Hueco Tanks,Boulder
Girls of Juarez,10,Hueco Tanks,Boulder
King Cobra,12,Hueco Tanks,Boulder
Desperanza,15,Hueco Tanks,Boulder
NE Face Pingora,1200,Wind River Range,Traditional
K Cracks,400,Wind River Range,Traditional
Black Elk,1000,Wind River Range,Traditional
Meadow Boulder,12,Wind River Range,Boulder
Rest Day,6,Wind River Range,Boulder
Becky Route,900,Wind River Range,Traditional
Cirque Traverse,5000,Wind River Range,Traditional
South Variation,500,Wind River Range,Traditional
Haystack,800,Wind River Range,Traditional
